Jurisdiction,Overseas,Locally acquired - contact of confirmed case,Locally acquired - unknown contact*,Locally acquired - interstate travel,Under investigation*,Total cases,Total deaths,Date,Locally acquired - unknown contact,Under investigation,"Population with at least one doses, 5+ years (%)","Population with two doses, 5+ years (%)","Eligible population with third dose, 16+ years (%)","Eligible population with fourth dose, 30+ years (%)"
Australia,15693.0,1344226.0,642367.0,44451.0,5672982.0,7719719.0,9217.0,2022-06-16,,,,,,
ACT,0.0,143656.0,0.0,0.0,0.0,143656.0,68.0,2022-06-16,,,,,,
NSW,4483.0,175016.0,0.0,1537.0,2507458.0,2688494.0,3353.0,2022-06-16,,,,,,
NT,529.0,30706.0,10653.0,4343.0,28751.0,74982.0,52.0,2022-06-16,,,,,,
QLD,1647.0,18865.0,8512.0,522.0,1202871.0,1232417.0,1152.0,2022-06-16,,,,,,
SA,2797.0,222165.0,303707.0,15440.0,13090.0,557199.0,490.0,2022-06-16,,,,,,
TAS,275.0,95327.0,16668.0,7184.0,55412.0,174866.0,82.0,2022-06-16,,,,,,
VIC,1606.0,249879.0,5415.0,0.0,1752657.0,2009557.0,3684.0,2022-06-16,,,,,,
WA,4356.0,408612.0,297412.0,15425.0,112743.0,838548.0,336.0,2022-06-16,,,,,,
Australia,15807.0,1349284.0,646438.0,44789.0,5693762.0,7750080.0,9268.0,2022-06-17,,,,,,
ACT,0.0,144597.0,0.0,0.0,0.0,144597.0,74.0,2022-06-17,,,,,,
NSW,4487.0,175348.0,0.0,1545.0,2515439.0,2696819.0,3360.0,2022-06-17,,,,,,
NT,534.0,30801.0,10798.0,4355.0,28769.0,75257.0,52.0,2022-06-17,,,,,,
QLD,1647.0,18890.0,8543.0,522.0,1207237.0,1236839.0,1163.0,2022-06-17,,,,,,
SA,2817.0,223148.0,305319.0,15567.0,13121.0,559972.0,496.0,2022-06-17,,,,,,
TAS,275.0,95797.0,16738.0,7240.0,55609.0,175659.0,84.0,2022-06-17,,,,,,
VIC,1606.0,249880.0,5415.0,0.0,1760202.0,2017103.0,3702.0,2022-06-17,,,,,,
WA,4441.0,410823.0,299625.0,15560.0,113385.0,843834.0,337.0,2022-06-17,,,,,,
Australia,15807.0,1349284.0,646438.0,44789.0,5693762.0,7750080.0,9268.0,2022-06-18,,,,,,
ACT,0.0,144597.0,0.0,0.0,0.0,144597.0,74.0,2022-06-18,,,,,,
NSW,4487.0,175348.0,0.0,1545.0,2515439.0,2696819.0,3360.0,2022-06-18,,,,,,
NT,534.0,30801.0,10798.0,4355.0,28769.0,75257.0,52.0,2022-06-18,,,,,,
QLD,1647.0,18890.0,8543.0,522.0,1207237.0,1236839.0,1163.0,2022-06-18,,,,,,
SA,2817.0,223148.0,305319.0,15567.0,13121.0,559972.0,496.0,2022-06-18,,,,,,
TAS,275.0,95797.0,16738.0,7240.0,55609.0,175659.0,84.0,2022-06-18,,,,,,
VIC,1606.0,249880.0,5415.0,0.0,1760202.0,2017103.0,3702.0,2022-06-18,,,,,,
WA,4441.0,410823.0,299625.0,15560.0,113385.0,843834.0,337.0,2022-06-18,,,,,,
Australia,15807.0,1349284.0,646438.0,44789.0,5693762.0,7750080.0,9268.0,2022-06-19,,,,,,
ACT,0.0,144597.0,0.0,0.0,0.0,144597.0,74.0,2022-06-19,,,,,,
NSW,4487.0,175348.0,0.0,1545.0,2515439.0,2696819.0,3360.0,2022-06-19,,,,,,
NT,534.0,30801.0,10798.0,4355.0,28769.0,75257.0,52.0,2022-06-19,,,,,,
QLD,1647.0,18890.0,8543.0,522.0,1207237.0,1236839.0,1163.0,2022-06-19,,,,,,
SA,2817.0,223148.0,305319.0,15567.0,13121.0,559972.0,496.0,2022-06-19,,,,,,
TAS,275.0,95797.0,16738.0,7240.0,55609.0,175659.0,84.0,2022-06-19,,,,,,
VIC,1606.0,249880.0,5415.0,0.0,1760202.0,2017103.0,3702.0,2022-06-19,,,,,,
WA,4441.0,410823.0,299625.0,15560.0,113385.0,843834.0,337.0,2022-06-19,,,,,,
Australia,16422.0,1361623.0,656213.0,45607.0,5742851.0,7822716.0,9387.0,2022-06-20,,,,,,
ACT,0.0,147096.0,0.0,0.0,0.0,147096.0,75.0,2022-06-20,,,,,,
NSW,4488.0,175801.0,0.0,1562.0,2535441.0,2717292.0,3397.0,2022-06-20,,,,,,
NT,544.0,31046.0,11014.0,4391.0,28812.0,75807.0,52.0,2022-06-20,,,,,,
QLD,1647.0,18924.0,8574.0,522.0,1218308.0,1247975.0,1171.0,2022-06-20,,,,,,
SA,2872.0,225432.0,309180.0,15803.0,13220.0,566507.0,503.0,2022-06-20,,,,,,
TAS,294.0,96928.0,17347.0,7423.0,55590.0,177582.0,85.0,2022-06-20,,,,,,
VIC,1606.0,249879.0,5415.0,0.0,1777702.0,2034602.0,3750.0,2022-06-20,,,,,,
WA,4971.0,416517.0,304683.0,15906.0,113778.0,855855.0,354.0,2022-06-20,,,,,,
Australia,16195.0,1365697.0,660190.0,45860.0,5762343.0,7850285.0,9445.0,2022-06-21,,,,,,
ACT,0.0,147942.0,0.0,0.0,0.0,147942.0,78.0,2022-06-21,,,,,,
NSW,4488.0,175897.0,0.0,1562.0,2543117.0,2725064.0,3404.0,2022-06-21,,,,,,
NT,548.0,31127.0,11131.0,4408.0,28825.0,76039.0,52.0,2022-06-21,,,,,,
QLD,1647.0,18948.0,8580.0,522.0,1221334.0,1251031.0,1175.0,2022-06-21,,,,,,
SA,2900.0,226082.0,310742.0,15887.0,13273.0,568884.0,514.0,2022-06-21,,,,,,
TAS,304.0,97342.0,17583.0,7466.0,55874.0,178569.0,85.0,2022-06-21,,,,,,
VIC,1606.0,249879.0,5415.0,0.0,1785133.0,2042033.0,3778.0,2022-06-21,,,,,,
WA,4702.0,418480.0,306739.0,16015.0,114787.0,860723.0,359.0,2022-06-21,,,,,,
Australia,16315.0,1370656.0,664782.0,46180.0,5785264.0,7883197.0,9507.0,2022-06-22,,,,,,
ACT,0.0,148996.0,0.0,0.0,0.0,148996.0,78.0,2022-06-22,,,,,,
NSW,4493.0,176149.0,0.0,1572.0,2552305.0,2734519.0,3430.0,2022-06-22,,,,,,
NT,551.0,31220.0,11238.0,4430.0,28844.0,76283.0,52.0,2022-06-22,,,,,,
QLD,1647.0,18978.0,8615.0,522.0,1226075.0,1255837.0,1181.0,2022-06-22,,,,,,
SA,2924.0,226928.0,312531.0,15971.0,13300.0,571654.0,518.0,2022-06-22,,,,,,
TAS,310.0,97774.0,17877.0,7520.0,56242.0,179723.0,86.0,2022-06-22,,,,,,
VIC,1606.0,249879.0,5415.0,0.0,1792834.0,2049734.0,3802.0,2022-06-22,,,,,,
WA,4784.0,420732.0,309106.0,16165.0,115664.0,866451.0,360.0,2022-06-22,,,,,,
Australia,16426.0,1375538.0,669187.0,46462.0,5807461.0,7915074.0,9558.0,2022-06-23,,,,,,
ACT,0.0,150123.0,0.0,0.0,0.0,150123.0,78.0,2022-06-23,,,,,,
NSW,4495.0,176357.0,0.0,1574.0,2561254.0,2743680.0,3456.0,2022-06-23,,,,,,
NT,551.0,31316.0,11374.0,4448.0,28852.0,76541.0,52.0,2022-06-23,,,,,,
QLD,1647.0,19005.0,8653.0,522.0,1230804.0,1260631.0,1186.0,2022-06-23,,,,,,
SA,2946.0,227758.0,314321.0,16059.0,13349.0,574433.0,520.0,2022-06-23,,,,,,
TAS,319.0,98214.0,18128.0,7569.0,56534.0,180764.0,88.0,2022-06-23,,,,,,
VIC,1606.0,249892.0,5415.0,0.0,1800215.0,2057128.0,3811.0,2022-06-23,,,,,,
WA,4862.0,422873.0,311296.0,16290.0,116453.0,871774.0,367.0,2022-06-23,,,,,,
Australia,16549.0,1380013.0,673276.0,46779.0,5829823.0,7946440.0,9599.0,2022-06-24,,,,,,
ACT,0.0,151113.0,0.0,0.0,0.0,151113.0,78.0,2022-06-24,,,,,,
NSW,4497.0,176571.0,0.0,1580.0,2570128.0,2752776.0,3469.0,2022-06-24,,,,,,
NT,556.0,31400.0,11506.0,4470.0,28852.0,76784.0,52.0,2022-06-24,,,,,,
QLD,1648.0,19056.0,8699.0,522.0,1235663.0,1265588.0,1192.0,2022-06-24,,,,,,
SA,2976.0,228516.0,316053.0,16161.0,13367.0,577073.0,524.0,2022-06-24,,,,,,
TAS,326.0,98606.0,18383.0,7613.0,56859.0,181787.0,89.0,2022-06-24,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1807894.0,2064814.0,3831.0,2022-06-24,,,,,,
WA,4940.0,424852.0,313220.0,16433.0,117060.0,876505.0,364.0,2022-06-24,,,,,,
Australia,16549.0,1380013.0,673276.0,46779.0,5829823.0,7946440.0,9599.0,2022-06-25,,,,,,
ACT,0.0,151113.0,0.0,0.0,0.0,151113.0,78.0,2022-06-25,,,,,,
NSW,4497.0,176571.0,0.0,1580.0,2570128.0,2752776.0,3469.0,2022-06-25,,,,,,
NT,556.0,31400.0,11506.0,4470.0,28852.0,76784.0,52.0,2022-06-25,,,,,,
QLD,1648.0,19056.0,8699.0,522.0,1235663.0,1265588.0,1192.0,2022-06-25,,,,,,
SA,2976.0,228516.0,316053.0,16161.0,13367.0,577073.0,524.0,2022-06-25,,,,,,
TAS,326.0,98606.0,18383.0,7613.0,56859.0,181787.0,89.0,2022-06-25,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1807894.0,2064814.0,3831.0,2022-06-25,,,,,,
WA,4940.0,424852.0,313220.0,16433.0,117060.0,876505.0,364.0,2022-06-25,,,,,,
Australia,16549.0,1380013.0,673276.0,46779.0,5829823.0,7946440.0,9599.0,2022-06-26,,,,,,
ACT,0.0,151113.0,0.0,0.0,0.0,151113.0,78.0,2022-06-26,,,,,,
NSW,4497.0,176571.0,0.0,1580.0,2570128.0,2752776.0,3469.0,2022-06-26,,,,,,
NT,556.0,31400.0,11506.0,4470.0,28852.0,76784.0,52.0,2022-06-26,,,,,,
QLD,1648.0,19056.0,8699.0,522.0,1235663.0,1265588.0,1192.0,2022-06-26,,,,,,
SA,2976.0,228516.0,316053.0,16161.0,13367.0,577073.0,524.0,2022-06-26,,,,,,
TAS,326.0,98606.0,18383.0,7613.0,56859.0,181787.0,89.0,2022-06-26,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1807894.0,2064814.0,3831.0,2022-06-26,,,,,,
WA,4940.0,424852.0,313220.0,16433.0,117060.0,876505.0,364.0,2022-06-26,,,,,,
Australia,16854.0,1391742.0,682695.0,47532.0,5884436.0,8023259.0,9704.0,2022-06-27,,,,,,
ACT,0.0,153903.0,0.0,0.0,0.0,153903.0,78.0,2022-06-27,,,,,,
NSW,4499.0,177032.0,0.0,1594.0,2592185.0,2775310.0,3507.0,2022-06-27,,,,,,
NT,563.0,31667.0,11793.0,4512.0,28884.0,77419.0,52.0,2022-06-27,,,,,,
QLD,1648.0,19070.0,8722.0,522.0,1247509.0,1277471.0,1199.0,2022-06-27,,,,,,
SA,3050.0,230744.0,319985.0,16412.0,13474.0,583665.0,531.0,2022-06-27,,,,,,
TAS,345.0,99718.0,19006.0,7736.0,57522.0,184327.0,89.0,2022-06-27,,,,,,
VIC,1606.0,249898.0,5415.0,0.0,1826505.0,2083424.0,3871.0,2022-06-27,,,,,,
WA,5143.0,429710.0,317774.0,16756.0,118357.0,887740.0,377.0,2022-06-27,,,,,,
Australia,16997.0,1396228.0,687078.0,47830.0,5904869.0,8053002.0,9777.0,2022-06-28,,,,,,
ACT,0.0,155047.0,0.0,0.0,0.0,155047.0,78.0,2022-06-28,,,,,,
NSW,4500.0,177141.0,0.0,1595.0,2600679.0,2783915.0,3547.0,2022-06-28,,,,,,
NT,566.0,31782.0,11948.0,4527.0,28897.0,77720.0,52.0,2022-06-28,,,,,,
QLD,1648.0,19087.0,8729.0,522.0,1250745.0,1280731.0,1218.0,2022-06-28,,,,,,
SA,3079.0,231436.0,321872.0,16491.0,13511.0,586389.0,530.0,2022-06-28,,,,,,
TAS,355.0,100230.0,19289.0,7788.0,57874.0,185536.0,89.0,2022-06-28,,,,,,
VIC,1606.0,249898.0,5415.0,0.0,1834221.0,2091140.0,3882.0,2022-06-28,,,,,,
WA,5243.0,431607.0,319825.0,16907.0,118942.0,892524.0,381.0,2022-06-28,,,,,,
Australia,17150.0,1401443.0,691926.0,48197.0,5928935.0,8087651.0,9837.0,2022-06-29,,,,,,
ACT,0.0,156472.0,0.0,0.0,0.0,156472.0,78.0,2022-06-29,,,,,,
NSW,4501.0,177329.0,0.0,1597.0,2611505.0,2794932.0,3558.0,2022-06-29,,,,,,
NT,570.0,31903.0,12094.0,4552.0,28934.0,78053.0,53.0,2022-06-29,,,,,,
QLD,1649.0,19098.0,8758.0,522.0,1252007.0,1282034.0,1238.0,2022-06-29,,,,,,
SA,3125.0,232268.0,323792.0,16580.0,13559.0,589324.0,530.0,2022-06-29,,,,,,
TAS,360.0,100747.0,19557.0,7859.0,58191.0,186714.0,90.0,2022-06-29,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1844803.0,2101723.0,3905.0,2022-06-29,,,,,,
WA,5339.0,433727.0,322310.0,17087.0,119936.0,898399.0,385.0,2022-06-29,,,,,,
Australia,17286.0,1406941.0,697654.0,48608.0,5961721.0,8132210.0,9897.0,2022-06-30,,,,,,
ACT,0.0,157678.0,0.0,0.0,0.0,157678.0,79.0,2022-06-30,,,,,,
NSW,4505.0,177591.0,0.0,1601.0,2622688.0,2806385.0,3581.0,2022-06-30,,,,,,
NT,575.0,32045.0,12264.0,4572.0,28951.0,78407.0,53.0,2022-06-30,,,,,,
QLD,1649.0,19102.0,8778.0,522.0,1262658.0,1292709.0,1248.0,2022-06-30,,,,,,
SA,3152.0,233165.0,325944.0,16691.0,13606.0,592558.0,530.0,2022-06-30,,,,,,
TAS,368.0,101292.0,19878.0,7930.0,58497.0,187965.0,92.0,2022-06-30,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1853389.0,2110309.0,3922.0,2022-06-30,,,,,,
WA,5431.0,436169.0,325375.0,17292.0,121932.0,906199.0,392.0,2022-06-30,,,,,,
Australia,17383.0,1410799.0,701313.0,48857.0,5978477.0,8156829.0,9930.0,2022-07-01,,,,,,
ACT,0.0,158826.0,0.0,0.0,0.0,158826.0,80.0,2022-07-01,,,,,,
NSW,4506.0,177756.0,0.0,1607.0,2633379.0,2817248.0,3590.0,2022-07-01,,,,,,
NT,577.0,32171.0,12414.0,4593.0,28953.0,78708.0,53.0,2022-07-01,,,,,,
QLD,1649.0,19132.0,8815.0,522.0,1262591.0,1292709.0,1254.0,2022-07-01,,,,,,
SA,3192.0,234086.0,327670.0,16794.0,13656.0,595398.0,533.0,2022-07-01,,,,,,
TAS,368.0,101284.0,19878.0,7930.0,59786.0,189246.0,92.0,2022-07-01,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1858926.0,2115846.0,3934.0,2022-07-01,,,,,,
WA,5485.0,437645.0,327121.0,17411.0,121186.0,908848.0,394.0,2022-07-01,,,,,,
Australia,17383.0,1410799.0,701313.0,48857.0,5978477.0,8156829.0,9930.0,2022-07-02,,,,,,
ACT,0.0,158826.0,0.0,0.0,0.0,158826.0,80.0,2022-07-02,,,,,,
NSW,4506.0,177756.0,0.0,1607.0,2633379.0,2817248.0,3590.0,2022-07-02,,,,,,
NT,577.0,32171.0,12414.0,4593.0,28953.0,78708.0,53.0,2022-07-02,,,,,,
QLD,1649.0,19132.0,8815.0,522.0,1262591.0,1292709.0,1254.0,2022-07-02,,,,,,
SA,3192.0,234086.0,327670.0,16794.0,13656.0,595398.0,533.0,2022-07-02,,,,,,
TAS,368.0,101284.0,19878.0,7930.0,59786.0,189246.0,92.0,2022-07-02,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1858926.0,2115846.0,3934.0,2022-07-02,,,,,,
WA,5485.0,437645.0,327121.0,17411.0,121186.0,908848.0,394.0,2022-07-02,,,,,,
Australia,17383.0,1410799.0,701313.0,48857.0,5978477.0,8156829.0,9930.0,2022-07-03,,,,,,
ACT,0.0,158826.0,0.0,0.0,0.0,158826.0,80.0,2022-07-03,,,,,,
NSW,4506.0,177756.0,0.0,1607.0,2633379.0,2817248.0,3590.0,2022-07-03,,,,,,
NT,577.0,32171.0,12414.0,4593.0,28953.0,78708.0,53.0,2022-07-03,,,,,,
QLD,1649.0,19132.0,8815.0,522.0,1262591.0,1292709.0,1254.0,2022-07-03,,,,,,
SA,3192.0,234086.0,327670.0,16794.0,13656.0,595398.0,533.0,2022-07-03,,,,,,
TAS,368.0,101284.0,19878.0,7930.0,59786.0,189246.0,92.0,2022-07-03,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1858926.0,2115846.0,3934.0,2022-07-03,,,,,,
WA,5485.0,437645.0,327121.0,17411.0,121186.0,908848.0,394.0,2022-07-03,,,,,,
Australia,17723.0,1424706.0,713580.0,49816.0,6044915.0,8250740.0,10039.0,2022-07-04,,,,,,
ACT,0.0,162259.0,0.0,0.0,0.0,162259.0,80.0,2022-07-04,,,,,,
NSW,4511.0,178160.0,0.0,1616.0,2661811.0,2846098.0,3613.0,2022-07-04,,,,,,
NT,589.0,32455.0,12764.0,4648.0,28983.0,79439.0,53.0,2022-07-04,,,,,,
QLD,1650.0,19166.0,8839.0,522.0,1276806.0,1306983.0,1270.0,2022-07-04,,,,,,
SA,3268.0,236401.0,332762.0,17047.0,13779.0,603257.0,539.0,2022-07-04,,,,,,
TAS,398.0,103297.0,20932.0,8180.0,59741.0,192548.0,94.0,2022-07-04,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1880863.0,2137783.0,3993.0,2022-07-04,,,,,,
WA,5701.0,443069.0,332868.0,17803.0,122932.0,922373.0,397.0,2022-07-04,,,,,,
Australia,17845.0,1428909.0,718296.0,50111.0,6076188.0,8291349.0,10086.0,2022-07-05,,,,,,
ACT,0.0,163404.0,0.0,0.0,0.0,163404.0,81.0,2022-07-05,,,,,,
NSW,4511.0,178218.0,0.0,1616.0,2672225.0,2856570.0,3627.0,2022-07-05,,,,,,
NT,594.0,32587.0,12926.0,4668.0,29005.0,79780.0,53.0,2022-07-05,,,,,,
QLD,1650.0,19195.0,8856.0,522.0,1286522.0,1316745.0,1281.0,2022-07-05,,,,,,
SA,3296.0,237239.0,335077.0,17178.0,13848.0,606638.0,540.0,2022-07-05,,,,,,
TAS,398.0,103298.0,20931.0,8180.0,61344.0,194151.0,96.0,2022-07-05,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1889549.0,2146469.0,4009.0,2022-07-05,,,,,,
WA,5790.0,445069.0,335091.0,17947.0,123695.0,927592.0,399.0,2022-07-05,,,,,,
Australia,17971.0,1435510.0,724905.0,50562.0,6098968.0,8327916.0,10131.0,2022-07-06,,,,,,
ACT,0.0,164870.0,0.0,0.0,0.0,164870.0,81.0,2022-07-06,,,,,,
NSW,4513.0,178442.0,0.0,1621.0,2685706.0,2870282.0,3637.0,2022-07-06,,,,,,
NT,597.0,32730.0,13067.0,4692.0,29034.0,80120.0,53.0,2022-07-06,,,,,,
QLD,1650.0,19229.0,8909.0,522.0,1285435.0,1315745.0,1285.0,2022-07-06,,,,,,
SA,3321.0,238308.0,337941.0,17279.0,13896.0,610745.0,545.0,2022-07-06,,,,,,
TAS,418.0,104659.0,21706.0,8345.0,60693.0,195821.0,97.0,2022-07-06,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1899562.0,2156482.0,4033.0,2022-07-06,,,,,,
WA,5866.0,447373.0,337867.0,18103.0,124642.0,933851.0,400.0,2022-07-06,,,,,,
Australia,18110.0,1440974.0,730580.0,33542.0,6131321.0,8354527.0,10190.0,2022-07-07,,,,,,
ACT,0.0,166133.0,0.0,0.0,0.0,166133.0,81.0,2022-07-07,,,,,,
NSW,4515.0,178605.0,0.0,1624.0,2698816.0,2883560.0,3659.0,2022-07-07,,,,,,
NT,608.0,32727.0,13080.0,4697.0,29330.0,80442.0,53.0,2022-07-07,,,,,,
QLD,1650.0,19252.0,8951.0,522.0,1292261.0,1322636.0,1302.0,2022-07-07,,,,,,
SA,3339.0,239432.0,340538.0,0.0,13968.0,597277.0,546.0,2022-07-07,,,,,,
TAS,431.0,105190.0,21923.0,8423.0,61583.0,197550.0,97.0,2022-07-07,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1909806.0,2166726.0,4044.0,2022-07-07,,,,,,
WA,5961.0,449736.0,340673.0,18276.0,125557.0,940203.0,408.0,2022-07-07,,,,,,
Australia,18222.0,1446612.0,736862.0,51284.0,6160851.0,8413831.0,10225.0,2022-07-08,,,,,,
ACT,0.0,167804.0,0.0,0.0,0.0,167804.0,81.0,2022-07-08,,,,,,
NSW,4515.0,178814.0,0.0,1631.0,2711310.0,2896270.0,3666.0,2022-07-08,,,,,,
NT,617.0,32731.0,13085.0,4696.0,29691.0,80820.0,53.0,2022-07-08,,,,,,
QLD,1650.0,19274.0,8971.0,522.0,1298203.0,1328620.0,1315.0,2022-07-08,,,,,,
SA,3355.0,240438.0,343103.0,17469.0,14064.0,618429.0,546.0,2022-07-08,,,,,,
TAS,441.0,106102.0,22424.0,8522.0,61653.0,199142.0,100.0,2022-07-08,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1919459.0,2176379.0,4053.0,2022-07-08,,,,,,
WA,6038.0,451550.0,343864.0,18444.0,126471.0,946367.0,411.0,2022-07-08,,,,,,
Australia,18222.0,1446612.0,736862.0,51284.0,6160851.0,8413831.0,10225.0,2022-07-09,,,,,,
ACT,0.0,167804.0,0.0,0.0,0.0,167804.0,81.0,2022-07-09,,,,,,
NSW,4515.0,178814.0,0.0,1631.0,2711310.0,2896270.0,3666.0,2022-07-09,,,,,,
NT,617.0,32731.0,13085.0,4696.0,29691.0,80820.0,53.0,2022-07-09,,,,,,
QLD,1650.0,19274.0,8971.0,522.0,1298203.0,1328620.0,1315.0,2022-07-09,,,,,,
SA,3355.0,240438.0,343103.0,17469.0,14064.0,618429.0,546.0,2022-07-09,,,,,,
TAS,441.0,106102.0,22424.0,8522.0,61653.0,199142.0,100.0,2022-07-09,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1919459.0,2176379.0,4053.0,2022-07-09,,,,,,
WA,6038.0,451550.0,343864.0,18444.0,126471.0,946367.0,411.0,2022-07-09,,,,,,
Australia,18222.0,1446612.0,736862.0,51284.0,6160851.0,8413831.0,10225.0,2022-07-10,,,,,,
ACT,0.0,167804.0,0.0,0.0,0.0,167804.0,81.0,2022-07-10,,,,,,
NSW,4515.0,178814.0,0.0,1631.0,2711310.0,2896270.0,3666.0,2022-07-10,,,,,,
NT,617.0,32731.0,13085.0,4696.0,29691.0,80820.0,53.0,2022-07-10,,,,,,
QLD,1650.0,19274.0,8971.0,522.0,1298203.0,1328620.0,1315.0,2022-07-10,,,,,,
SA,3355.0,240438.0,343103.0,17469.0,14064.0,618429.0,546.0,2022-07-10,,,,,,
TAS,441.0,106102.0,22424.0,8522.0,61653.0,199142.0,100.0,2022-07-10,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1919459.0,2176379.0,4053.0,2022-07-10,,,,,,
WA,6038.0,451550.0,343864.0,18444.0,126471.0,946367.0,411.0,2022-07-10,,,,,,
Australia,18486.0,1458854.0,752927.0,52050.0,6229527.0,8511844.0,10326.0,2022-07-11,,,,,,
ACT,0.0,170946.0,0.0,0.0,0.0,170946.0,83.0,2022-07-11,,,,,,
NSW,4519.0,179152.0,0.0,1643.0,2738484.0,2923798.0,3715.0,2022-07-11,,,,,,
NT,645.0,32732.0,13085.0,4696.0,30613.0,81771.0,53.0,2022-07-11,,,,,,
QLD,1650.0,19304.0,8981.0,522.0,1309867.0,1340324.0,1323.0,2022-07-11,,,,,,
SA,3357.0,242630.0,350448.0,17529.0,14300.0,628264.0,553.0,2022-07-11,,,,,,
TAS,460.0,108065.0,23333.0,8738.0,62809.0,203405.0,101.0,2022-07-11,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1944846.0,2201766.0,4075.0,2022-07-11,,,,,,
WA,6249.0,456126.0,351665.0,18922.0,128608.0,961570.0,423.0,2022-07-11,,,,,,
Australia,18620.0,1463145.0,758952.0,52375.0,6258792.0,8551884.0,10385.0,2022-07-12,,,,,,
ACT,0.0,172120.0,0.0,0.0,0.0,172120.0,84.0,2022-07-12,,,,,,
NSW,4519.0,179205.0,0.0,1643.0,2749229.0,2934596.0,3735.0,2022-07-12,,,,,,
NT,653.0,32732.0,13085.0,4696.0,31086.0,82252.0,53.0,2022-07-12,,,,,,
QLD,1651.0,19321.0,8997.0,522.0,1315378.0,1345869.0,1338.0,2022-07-12,,,,,,
SA,3357.0,243399.0,353212.0,17556.0,14411.0,631935.0,556.0,2022-07-12,,,,,,
TAS,475.0,108863.0,23803.0,8830.0,63245.0,205216.0,102.0,2022-07-12,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1955451.0,2212371.0,4091.0,2022-07-12,,,,,,
WA,6359.0,457606.0,354440.0,19128.0,129992.0,967525.0,426.0,2022-07-12,,,,,,
Australia,18771.0,1468167.0,766464.0,52759.0,6289984.0,8596145.0,10437.0,2022-07-13,,,,,,
ACT,0.0,173465.0,0.0,0.0,0.0,173465.0,84.0,2022-07-13,,,,,,
NSW,4522.0,179434.0,0.0,1652.0,2759508.0,2945116.0,3749.0,2022-07-13,,,,,,
NT,661.0,32728.0,13090.0,4699.0,31524.0,82702.0,53.0,2022-07-13,,,,,,
QLD,1652.0,19374.0,9021.0,522.0,1322850.0,1353419.0,1350.0,2022-07-13,,,,,,
SA,3355.0,244375.0,356753.0,17590.0,14500.0,636573.0,558.0,2022-07-13,,,,,,
TAS,482.0,109642.0,24258.0,8905.0,63727.0,207014.0,104.0,2022-07-13,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1966602.0,2223522.0,4111.0,2022-07-13,,,,,,
WA,6493.0,459250.0,357927.0,19391.0,131273.0,974334.0,428.0,2022-07-13,,,,,,
Australia,18893.0,1473391.0,774215.0,53154.0,6324052.0,8643705.0,10518.0,2022-07-14,,,,,,
ACT,0.0,174861.0,0.0,0.0,0.0,174861.0,84.0,2022-07-14,,,,,,
NSW,4524.0,179611.0,0.0,1662.0,2773536.0,2959333.0,3785.0,2022-07-14,,,,,,
NT,667.0,32719.0,13101.0,4701.0,32004.0,83192.0,53.0,2022-07-14,,,,,,
QLD,1653.0,19391.0,9055.0,522.0,1330092.0,1360713.0,1368.0,2022-07-14,,,,,,
SA,3356.0,245488.0,360249.0,17624.0,14595.0,641312.0,559.0,2022-07-14,,,,,,
TAS,496.0,110454.0,24687.0,9004.0,64172.0,208813.0,105.0,2022-07-14,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1977822.0,2234742.0,4131.0,2022-07-14,,,,,,
WA,6591.0,460968.0,361708.0,19641.0,131831.0,980739.0,433.0,2022-07-14,,,,,,
Australia,18990.0,1477920.0,780946.0,53503.0,6355766.0,8687125.0,10582.0,2022-07-15,,,,,,
ACT,0.0,175923.0,0.0,0.0,0.0,175923.0,84.0,2022-07-15,,,,,,
NSW,4526.0,179831.0,0.0,1669.0,2785499.0,2971525.0,3798.0,2022-07-15,,,,,,
NT,672.0,32719.0,13100.0,4701.0,32492.0,83684.0,53.0,2022-07-15,,,,,,
QLD,1653.0,19397.0,9074.0,522.0,1336639.0,1367285.0,1388.0,2022-07-15,,,,,,
SA,3357.0,246487.0,363570.0,17653.0,14686.0,645753.0,565.0,2022-07-15,,,,,,
TAS,504.0,111250.0,25067.0,9085.0,64639.0,210545.0,106.0,2022-07-15,,,,,,
VIC,1606.0,249899.0,5415.0,0.0,1988381.0,2245301.0,4148.0,2022-07-15,,,,,,
WA,6672.0,462414.0,364720.0,19873.0,133430.0,987109.0,440.0,2022-07-15,,,,,,
